"","ctrl1","ctrl2","ctrl3","ctrl4","RA1","RA2","RA3","RA4"
"IGLVI-42",3.000002061,0,0,0,0,0,0,0
"IGLVI-56",0,0,0,0,0.999998166,0,0,0
"IGLVI-63",0,0,0,0,0,0,0,0
"IGLVI-68",0,0,0,0,0,0,1.000002853,0
"IGLVI-70",0,0,0,0,9.013235934,31.10682437,5.000002403,94.85832245
"IGLVIV-53",0,0,0,0,0,0,0,0
"IGLVIV-59",0,0,0,0,0,1.000000916,1.000000659,0
"IGLVIV-64",0,0,0,0,0,0,0,0
"IGLVIV-65",0,0,0,0,0,0,0,0
"IGLVIV-66-1",0,0,0,0,0,0,0,0
"IGLVIVOR22-1",0,0,0,0,0,0,0,0
"IGLVIVOR22-2",1.04418194,0,0,0,1.084941387,0,0,0
"IGLVV-58",0,0,0,0,0,0,0,0
"IGLVV-66",0,0,0,0,0,3.000003911,0,0
"IGLVVI-22-1",0,0,0,0,0,0,0,0
"IGLVVI-25-1",0,0,0,0,0,0,0,0
"IGLVVII-41-1",0,0,0,0,0,0,0,0
"IGSF1",322.1248236,34.3275374,18.43790193,11.79886506,34.33390223,133.8865798,131.8962386,83.42169278
"IGSF10",7230.610484,1550.814075,600.6371857,703.475605,258.0245578,1973.4005,632.6703886,1913.16764
"IGSF11",73.71937656,21.19316135,12.05363349,0,12.40817581,50.65575247,61.50208449,230.7266728
"IGSF21",189.957327,100.1411768,56.00004077,29.99995005,51.00843474,158.092882,198.2734754,126.3519742
"IGSF22",68.94457286,0,11.00000604,0,20.41769307,29.37657306,38.25201338,55.15131262
"IGSF23",4.000004896,0,1.000001344,0.999999913,0,23.00005175,0,0
"IGSF3",566.0671036,215.9999887,109.0000213,99.99988166,42.99990288,585.2220721,336.3104657,837.9654255
"IGSF5",303.999834,50.00008532,3.999999827,1.99999393,64.99988694,212.9999017,261.0003397,286.9997641
"IGSF6",1183.013921,207.7971587,281.5190489,211.9888632,301.6067422,706.8331865,1388.580573,1553.605454
"IGSF8",2789.998601,247.0001059,120.9999246,179.9996105,7.999949861,332.0002186,4.000001497,194.9998933
"IGSF9",31.25742031,75.65469027,68.89628996,38.13364687,8.861954066,155.4726834,53.62639569,62.32491517
"IGSF9B",956.9997025,473.9998376,197.0001695,151.0000738,67.00001339,1017.996881,331.9991374,1033.002637
"IHH",4.999988423,0,0,0,0,2.000001792,1.000000008,0
"IHO1",221.1858081,49.38455999,48.12588303,33.48996421,16.30285049,231.044134,63.80421446,86.63177303
"IK",2064.639456,1389.323686,1254.169091,1047.079183,184.8888271,601.5958521,1111.538382,1665.672708
"IKBIP",792.348336,178.9997613,601.4888766,190.2694167,302.2117749,498.3812291,632.1420284,263.7068431
"IKBKB",4784.054096,373.1536168,370.7260215,255.576824,736.7804209,3566.554129,4560.395649,3164.901148
"IKBKE",401.9997857,82.00007689,34.99993572,40.99994697,37.99991504,208.9997712,1227.003219,371.0000548
"IKBKG",1663.234464,282.2852702,113.4208198,194.3727611,188.9991345,508.0006192,470.9998574,459.2343706
"IKBKGP1",298.9553366,172.714736,113.5789349,41.626852,0,0,0,0
"IKZF1",2106.798253,94.05323925,177.9997531,122.26839,2058.026403,2801.61608,7842.097789,3861.257692
"IKZF2",1188.999156,40.00005501,105.0000202,65.00001557,482.9984632,2788.000589,2714.999965,1303.000397
